codigo,tipo,categoria,dia,finde,ano,hora,momento,distrito,X,Y
50356881,salto,cometido,4.JUEVES,NO,2005,17,2.TARDE,SOUTHERN,-122.4034048,37.77542071
50987511,arma,cometido,4.JUEVES,NO,2005,19,2.TARDE,SOUTHERN,-122.4169911,37.77707419
100582520,estrangulamiento,cometido,4.JUEVES,NO,2010,16,2.TARDE,SOUTHERN,-122.4131707,37.77261632
100910993,estrangulamiento,cometido,4.JUEVES,NO,2010,16,2.TARDE,SOUTHERN,-122.4169911,37.77707419
121041939,estrangulamiento,cometido,4.JUEVES,NO,2012,17,2.TARDE,SOUTHERN,-122.4078771,37.7803875
41093482,intento,intento,4.JUEVES,NO,2004,23,4.NOCHE,SOUTHERN,-122.4080683,37.78399168
50022383,intento,intento,4.JUEVES,NO,2005,23,4.NOCHE,SOUTHERN,-122.4079992,37.77782417
80458338,intento,intento,4.JUEVES,NO,2008,22,4.NOCHE,SOUTHERN,-122.4023215,37.78203871
130790903,intento,intento,4.JUEVES,NO,2013,21,4.NOCHE,SOUTHERN,-122.3944384,37.77485333
160288188,asfixia,cometido,4.JUEVES,NO,2016,21,4.NOCHE,SOUTHERN,-122.4034048,37.77542071
170164697,intento,intento,1.LUNES,NO,2017,3,0.MADRUGADA,SOUTHERN,-122.4028427,37.77982942
31060112,arma,cometido,1.LUNES,NO,2003,11,1.MANANA,SOUTHERN,-122.403891,37.78240141
41220328,otros,cometido,1.LUNES,NO,2004,12,1.MANANA,SOUTHERN,-122.3890406,37.78432123
60087123,estrangulamiento,cometido,1.LUNES,NO,2006,8,1.MANANA,SOUTHERN,-122.4054884,37.78013986
110334377,salto,cometido,1.LUNES,NO,2011,11,1.MANANA,SOUTHERN,-122.4009669,37.78774903
130370395,intento,intento,1.LUNES,NO,2013,12,1.MANANA,SOUTHERN,-122.4034048,37.77542071
150079038,estrangulamiento,cometido,1.LUNES,NO,2015,6,1.MANANA,SOUTHERN,-122.4090112,37.78113406
160276848,intento,intento,1.LUNES,NO,2016,10,1.MANANA,SOUTHERN,-122.4200014,37.77409486
170681817,intento,intento,1.LUNES,NO,2017,10,1.MANANA,SOUTHERN,-122.4139805,37.77556873
30139801,intento,intento,1.LUNES,NO,2003,14,2.TARDE,SOUTHERN,-122.4122725,37.78020391
40362901,intento,intento,1.LUNES,NO,2004,19,2.TARDE,SOUTHERN,-122.3649375,37.81020444
60756334,intento,intento,1.LUNES,NO,2006,16,2.TARDE,SOUTHERN,-122.4034048,37.77542071
70641167,salto,cometido,1.LUNES,NO,2007,16,2.TARDE,SOUTHERN,-122.4034048,37.77542071
90094336,salto,cometido,1.LUNES,NO,2009,14,2.TARDE,SOUTHERN,-122.4034048,37.77542071
100385829,intento,intento,1.LUNES,NO,2010,14,2.TARDE,SOUTHERN,-122.4034048,37.77542071
100550282,intento,intento,1.LUNES,NO,2010,16,2.TARDE,SOUTHERN,-122.4034048,37.77542071
101083779,salto,cometido,1.LUNES,NO,2010,14,2.TARDE,SOUTHERN,-122.388206,37.78849714
101125531,intento,intento,1.LUNES,NO,2010,17,2.TARDE,SOUTHERN,-122.4135321,37.77345468
110253761,intento,intento,1.LUNES,NO,2011,15,2.TARDE,SOUTHERN,-122.4034048,37.77542071
150479278,intento,intento,1.LUNES,NO,2015,14,2.TARDE,SOUTHERN,-122.4065085,37.78033132
71189051,intento,intento,1.LUNES,NO,2007,20,4.NOCHE,SOUTHERN,-122.4169704,37.77347643
110977018,intento,intento,1.LUNES,NO,2011,23,4.NOCHE,SOUTHERN,-122.4090112,37.78113406
130733210,intento,intento,1.LUNES,NO,2013,20,4.NOCHE,SOUTHERN,-122.4135321,37.77345468
140716046,intento,intento,1.LUNES,NO,2014,21,4.NOCHE,SOUTHERN,-122.3961679,37.78272397
150388823,intento,intento,1.LUNES,NO,2015,21,4.NOCHE,SOUTHERN,-122.4150649,37.77643541
30641925,estrangulamiento,cometido,2.MARTES,NO,2003,5,0.MADRUGADA,SOUTHERN,-122.4034048,37.77542071
60544775,arma,cometido,2.MARTES,NO,2006,3,0.MADRUGADA,SOUTHERN,-122.3978722,37.77879437
70157647,intento,intento,2.MARTES,NO,2007,0,0.MADRUGADA,SOUTHERN,-122.4144063,37.77523622
80768171,intento,intento,2.MARTES,NO,2008,1,0.MADRUGADA,SOUTHERN,-122.4121738,37.7742011
140976234,intento,intento,2.MARTES,NO,2014,2,0.MADRUGADA,SOUTHERN,-122.413046,37.77386178
30728896,intento,intento,2.MARTES,NO,2003,12,1.MANANA,SOUTHERN,-122.4095043,37.78152627
60333120,intento,intento,2.MARTES,NO,2006,8,1.MANANA,SOUTHERN,-122.4034048,37.77542071
130849754,intento,intento,2.MARTES,NO,2013,7,1.MANANA,SOUTHERN,-122.4127367,37.77771244
139004343,asfixia,cometido,2.MARTES,NO,2013,12,1.MANANA,SOUTHERN,-122.4034048,37.77542071
140718359,intento,intento,2.MARTES,NO,2014,12,1.MANANA,SOUTHERN,-122.4034048,37.77542071
30871241,intento,intento,2.MARTES,NO,2003,17,2.TARDE,SOUTHERN,-122.3894204,37.78319359
31434200,intento,intento,2.MARTES,NO,2003,13,2.TARDE,SOUTHERN,-122.4068301,37.77955378
40855122,salto,cometido,2.MARTES,NO,2004,15,2.TARDE,SOUTHERN,-122.386667,37.78988216
40855871,otros,cometido,2.MARTES,NO,2004,18,2.TARDE,SOUTHERN,-122.4146837,37.77011144
