"","Continent","Disturbance","Order","Family","Scientific.name","Common.name","FID","log.fid"
"169","America-Australia","Pedestrian","Ciconiiformes","Ardeidae","Egretta novaehollandiae","white-faced heron",46.4,1.66651798055488
"170","America-Australia","Motorized vehicle","Ciconiiformes","Ardeidae","Egretta novaehollandiae ","white-faced heron ",81.4,1.9106244048892
"171","America-Australia","Motorized vehicle","Ciconiiformes","Ardeidae","Egretta novaehollandiae ","white-faced heron ",44.7,1.65030752313194
"172","America-Australia","Pedestrian","Ciconiiformes","Ardeidae","Egretta novaehollandiae ","white-faced heron ",45.9,1.66181268553726
"173","America-Australia","Non-motorized watercraft","Ciconiiformes","Ardeidae","Mesophoyx intermedia","intermediate egret",60,1.77815125038364
"174","America-Australia","Pedestrian","Ciconiiformes","Ardeidae","Mesophoyx intermedia","intermediate egret",30.6,1.48572142648158
"175","America-Australia","Motorized vehicle","Ciconiiformes","Ardeidae","Mesophoyx intermedia","intermediate egret",20,1.30102999566398
"176","America-Australia","Pedestrian","Ciconiiformes","Ardeidae","Mesophoyx intermedia","intermediate egret",13,1.11394335230684
"177","America-Australia","Motorized vehicle","Ciconiiformes","Ardeidae","Mesophoyx intermedia ","intermediate egret ",20,1.30102999566398
"178","America-Australia","Non-motorized watercraft","Ciconiiformes","Ardeidae","Nycticorax caledonicus","Nankeen night-heron",44,1.64345267648619
"179","America-Australia","Pedestrian","Ciconiiformes","Threskiornithidae","Platalea flavipes","yellow-billed spoonbill",24.7,1.39269695325967
"180","America-Australia","Motorized vehicle","Ciconiiformes","Threskiornithidae","Platalea flavipes ","yellow-billed spoonbill  ",89.8,1.9532763366673
"181","America-Australia","Pedestrian","Ciconiiformes","Threskiornithidae","Platalea flavipes ","yellow-billed spoonbill  ",24.7,1.39269695325967
"182","America-Australia","Non-motorized watercraft","Ciconiiformes","Threskiornithidae","Platalea regia","royal spoonbill",23,1.36172783601759
"183","America-Australia","Pedestrian","Ciconiiformes","Threskiornithidae","Platalea regia","royal spoonbill",55,1.74036268949424
"184","America-Australia","Motorized vehicle","Ciconiiformes","Threskiornithidae","Platalea regia","royal spoonbill",46,1.66275783168157
"185","America-Australia","Pedestrian","Ciconiiformes","Threskiornithidae","Platalea regia","royal spoonbill",48.8,1.68841982200271
"186","America-Australia","Pedestrian","Ciconiiformes","Threskiornithidae","Platalea regia ","royal spoonbill",44.4,1.64738297011462
"187","America-Australia","Motorized vehicle","Ciconiiformes","Threskiornithidae","Platalea regia ","royal spoonbill ",46,1.66275783168157
"188","America-Australia","Pedestrian","Ciconiiformes","Threskiornithidae","Platalea regia ","royal spoonbill ",50.1,1.69983772586725
"189","America-Australia","Pedestrian","Ciconiiformes","Threskiornithidae","Platalea regia ","royal spoonbill ",32.7,1.51454775266029
"190","America-Australia","Non-motorized watercraft","Ciconiiformes","Threskiornithidae","Plegadis falcinellus","glossy ibis ",22.3,1.34830486304816
"191","America-Australia","Pedestrian","Ciconiiformes","Threskiornithidae","Plegadis falcinellus","glossy ibis ",56.3,1.75050839485135
"192","America-Australia","Motorized vehicle","Ciconiiformes","Threskiornithidae","Plegadis falcinellus","glossy ibis",22.9,1.35983548233989
"193","America-Australia","Pedestrian","Ciconiiformes","Threskiornithidae","Plegadis falcinellus","glossy ibis",45,1.65321251377534
"194","America-Australia","Non-motorized watercraft","Ciconiiformes","Threskiornithidae","Threskiornis molucca","Australian white ibis ",26,1.41497334797082
"195","America-Australia","Pedestrian","Ciconiiformes","Threskiornithidae","Threskiornis molucca","Australian sacred ibis ",50.4,1.70243053644553
"196","America-Australia","Motorized vehicle","Ciconiiformes","Threskiornithidae","Threskiornis molucca","Australian white ibis",56.2,1.74973631556906
"197","America-Australia","Pedestrian","Ciconiiformes","Threskiornithidae","Threskiornis molucca","Australian white ibis",48.6,1.68663626926229
"198","America-Australia","Motorized watercraft","Ciconiiformes","Threskiornithidae","Threskiornis molucca","Australian white ibis",62.2,1.79379038469082
"199","America-Australia","Non-motorized watercraft","Ciconiiformes","Threskiornithidae","Threskiornis molucca","Australian white ibis",58.3,1.76566855475901
"200","America-Australia","Pedestrian","Ciconiiformes","Threskiornithidae","Threskiornis molucca","Australian white ibis",80.8,1.90741136077459
"201","America-Australia","Pedestrian","Ciconiiformes","Threskiornithidae","Threskiornis molucca ","Australian white ibis ",32.8,1.51587384371168
"202","America-Australia","Motorized vehicle","Ciconiiformes","Threskiornithidae","Threskiornis molucca ","Australian white ibis  ",64.9,1.81224469680037
"203","America-Australia","Motorized vehicle","Ciconiiformes","Threskiornithidae","Threskiornis molucca ","Australian white ibis  ",55.1,1.74115159885179
"204","America-Australia","Pedestrian","Ciconiiformes","Threskiornithidae","Threskiornis molucca ","Australian white ibis  ",49.8,1.69722934275972
"205","America-Australia","Motorized vehicle","Ciconiiformes","Threskiornithidae","Threskiornis spinicollis","straw-necked ibis",81.8,1.91275330367132
"206","America-Australia","Pedestrian","Ciconiiformes","Threskiornithidae","Threskiornis spinicollis","straw-necked ibis",84.9,1.92890769024395
"207","America-Australia","Motorized vehicle","Ciconiiformes","Threskiornithidae","Threskiornis spinicollis","straw-necked ibis ",80.6,1.90633504180509
"208","America-Australia","Pedestrian","Ciconiiformes","Threskiornithidae","Threskiornis spinicollis","straw-necked ibis ",110.7,2.04414762087872
"209","America-Australia","Pedestrian","Ciconiiformes","Threskiornithidae","Threskiornis spinicollis ","straw-necked ibis ",42.4,1.62736585659273
"210","America-Australia","Pedestrian","Columbiformes","Columbidae ","Geopelia humeralis ","bar-shouldered dove ",22.1,1.34439227368511
"211","America-Australia","Pedestrian","Columbiformes","Columbidae ","Leucosarcia melanoleuca","Wonga pigeon ",18.5,1.26717172840301
"212","America-Australia","Pedestrian","Columbiformes","Columbidae ","Macropygia amboinensis ","brown cuckoo-dove ",8.9,0.949390006644913
"213","America-Australia","Pedestrian","Columbiformes","Columbidae ","Macropygia amboinensis ","brown cuckoo-dove ",4.6,0.662757831681574
"214","America-Australia","Pedestrian","Columbiformes","Columbidae ","Macropygia amboinensis ","brown cuckoo-dove ",8.1,0.90848501887865
"215","America-Australia","Pedestrian","Coraciiformes","Coraciidae ","Eurystomus orientalis ","dollarbird ",25.9,1.41329976408125
"216","America-Australia","Pedestrian","Coraciiformes","Halcyonidae ","Dacelo novaeguineae ","laughing kookaburra ",10.5,1.02118929906994
"217","America-Australia","Pedestrian","Coraciiformes","Halcyonidae ","Dacelo novaeguineae ","laughing kookaburra ",14.7,1.16731733474818
"218","America-Australia","Pedestrian","Coraciiformes","Halcyonidae ","Dacelo novaeguineae ","laughing kookaburra",13.8,1.13987908640124
"219","America-Australia","Pedestrian","Coraciiformes","Halcyonidae ","Todiramphus sanctus ","sacred kingfisher ",20.9,1.32014628611105
"220","America-Australia","Pedestrian","Cuculiformes","Cuculidae ","Cacomantis flabelliformis ","fan-tailed cuckoo ",10.6,1.02530586526477
"221","America-Australia","Pedestrian","Falconiformes","Accipitridae ","Elanus axillaris ","black-shouldered kite ",23.1,1.36361197989214
"222","America-Australia","Pedestrian","Galliformes","Megapodiidae ","Alectura lathami ","Australian brush turkey",12,1.07918124604762
