Name,Age,Nationality,Cause,Location,,Month,Day,Year
Pemba Sherpa,19,   Nepal,Unknown,Base Camp,,April,25,2015
Dawa Tsering Sherpa,33,   Nepal,Unknown,Base Camp,,April,25,2015
Maila (Milan) Rai,41,   Nepal,Unknown,Base Camp,,April,25,2015
Chhimi Dawa Sherpa,27,   Nepal,Unknown,Base Camp,,April,25,2015
Pema Yishi (Hissi) Sherpa,,   Nepal,Unknown,Base Camp,,April,25,2015
Pasang Temba Sherpa,,   Nepal,Unknown,Base Camp,,April,25,2015
Krishna Kumar Rai,,   Nepal,Unknown,Base Camp,,April,25,2015
Tenzing (Tengien) Bhote,,   Nepal,Unknown,Base Camp,,April,25,2015
Lhakpa Chhiring Sherpa,33,   Nepal,Unknown,Base Camp,,April,25,2015
Shiva Kumar Shrestha,25,   Nepal,Unknown,Base Camp,,April,25,2015
Marisa Eve Girawong,28, United Kingdom,Unknown,Base Camp,,April,25,2015
Thomas Ely Taplin,61, United Kingdom,Unknown,Base Camp,,April,25,2015
Daniel Paul Fredinburg,33, United Kingdom,Unknown,Base Camp avalanche following the April 2015 Nepal earthquake,,April,25,2015
Zoran Miletić,, Yugoslavia,Unknown,7800m N.E. Ridge,,May,19,2002
Toshiaki Kobayashi,, Japan,Unknown,Near Summit,,December,28,1982
Vasyl Kopytko,, Ukraine,Unknown,N.E. Ridge,,May,8,1999
Andrew Irvine,22, United Kingdom,Unknown,N.E. Ridge,,June,9,1924
Nawang Tshering,,   Nepal,Unknown,Lhotse face,,April,28,1962
Lhakpa Nuru,,   Nepal,Unknown,6900m,,September,10,1995
Dawa Sherpa,,   Nepal,Unknown,7200m South Col,,April,26,2007
Namgyal Sherpa,35,   Nepal,Unknown,8300m N.E. Ridge,,May,17,2013
Renu Fotedar,49, Australia,Unknown,,,April,25,2015
Shao Shi-Ching [note 3],, China,Unknown,N.E. Ridge,,April,29,1960
Libor Kozak,, Czech,Unknown,8300m,,May,17,2007
Maurizio Pierangelo,46, Italy,Unknown,N.E. Ridge,,May,17,2007
Shinichi Ishii,, Japan,Unknown,8650m,,May,17,2007
Yoshitomi Okura,62, Japan,Unknown,N.E. Ridge,,May,16,2007
Oh Hee-joon,37, South Korea,Unknown,S.W. Face,,May,17,2007
Lee Hyun-jo,34, South Korea,Unknown,S.W. Face,,May,17,2007
Michael Matthews,22, United Kingdom,Unknown,S.E. Ridge,,May,13,1999
Vinh B Truong,48, United Kingdom,Unknown,,,April,25,2015
Unknown climber,,Nepal,Unknown,Base Camp,,April,25,2015
