Continent,Disturbance,Order,Family,Scientific.name,Common.name,FID,log.fid
America-Australia,Pedestrian,Columbiformes,Columbidae ,Ocyphaps lophotes ,crested pigeon ,12.6,1.100370545
America-Australia,Pedestrian,Passeriformes,Acanthizidae,Origma solitaria,rockwarbler,17.1,1.23299611
America-Australia,Pedestrian,Passeriformes,Oriolidae ,Oriolus sagittatus ,olive-backed oriole ,10.2,1.008600172
America-Australia,Pedestrian,Passeriformes,Orthonychidae,Orthonyx spaldingii,chowchilla,4,0.602059991
America-Australia,Pedestrian,Passeriformes,Orthonychidae,Orthonyx temminckii,Australian logrunner,4.5,0.653212514
America-Australia,Pedestrian,Anseriformes,Anatidae,Oxyura australis,blue-billed duck,68.3,1.834420704
America-Australia,Pedestrian,Passeriformes,Pachycephalidae ,Pachycephala olivacea,olive whistler,3.8,0.579783597
America-Australia,Pedestrian,Passeriformes,Pachycephalidae ,Pachycephala pectoralis ,golden whistler ,7.9,0.897627091
America-Australia,Pedestrian,Passeriformes,Pachycephalidae ,Pachycephala rufiventris,rufous whistler,5.2,0.716003344
America-Australia,Pedestrian,Passeriformes,Pardalotidae,Pardalotus punctatus,spotted pardalote,4,0.602059991
America-Australia,Pedestrian,Pelicaniformes,Pelecanidae,Pelecanus conspicillatus,Australian pelican,32.6,1.5132176
America-Australia,Pedestrian,Pelicaniformes,Pelicanidae,Pelecanus occidentalis,brown pelican ,27.38,1.437433444
America-Australia,Pedestrian,Passeriformes,Hirundinidae,Petrochelidon ariel,fairy martin,8.9,0.949390007
America-Australia,Pedestrian,Passeriformes,Petroicidae,Petroica boodang,scarlet robin,8,0.903089987
America-Australia,Pedestrian,Passeriformes,Petroicidae,Petroica rosea,rose robin,13.1,1.117271296
America-Australia,Pedestrian,Pelicaniformes,Phalacrocoracidae ,Phalacrocorax auritus,double-crested cormorant,31.27,1.495127881
America-Australia,Pedestrian,Pelicaniformes,Phalacrocoracidae,Phalacrocorax carbo,great cormorant,74,1.86923172
America-Australia,Pedestrian,Pelicaniformes,Phalacrocoracidae,Phalacrocorax sulcirostris,little black cormorant,57.3,1.758154622
America-Australia,Pedestrian,Pelicaniformes,Phalacrocoracidae,Phalacrocorax varius,pied cormorant,77.9,1.891537458
America-Australia,Pedestrian,Columbiformes,Columbidae ,Phaps chalcopetra,common bronzewing,21.6,1.334453751
America-Australia,Pedestrian,Passeriformes,Meliphagidae ,Philemon buceroides,helmeted friarbird,12,1.079181246
America-Australia,Pedestrian,Passeriformes,Meliphagidae ,Philemon citreogularis,little friarbird,6.8,0.832508913
America-Australia,Pedestrian,Passeriformes,Meliphagidae ,Philemon corniculatus,noisy friarbird,11.1,1.045322979
America-Australia,Pedestrian,Passeriformes,Meliphagidae ,Phylidonyris melanops ,tawny-crowned honeyeater ,9.8,0.991226076
America-Australia,Pedestrian,Passeriformes,Meliphagidae ,Phylidonyris niger,white-cheeked honeyeater,2.3,0.361727836
America-Australia,Pedestrian,Passeriformes,Meliphagidae,Phylidonyris novaehollandidae ,New Holland honeyeater,6.6,0.819543936
America-Australia,Pedestrian,Passeriformes,Phylloscopidae,Phylloscopus collybita,Eurasian chiffchaff ,6,0.77815125
America-Australia,Pedestrian,Passeriformes,Emberizidae ,Pipilo crissalis,California towhee,11.9,1.075546961
America-Australia,Pedestrian,Passeriformes,Emberizidae,Pipilo maculatus ,spotted towhee ,9.4,0.973127854
America-Australia,Pedestrian,Ciconiiformes,Threskiornithidae,Platalea flavipes,yellow-billed spoonbill,24.7,1.392696953
America-Australia,Pedestrian,Ciconiiformes,Threskiornithidae,Platalea regia,royal spoonbill,55,1.740362689
America-Australia,Pedestrian,Psittaciformes,Psittacidae ,Platycercus adscitus,pale-headed rosella,21,1.322219295
America-Australia,Pedestrian,Psittaciformes,Psittacidae ,Platycercus elegans ,crimson rosella,8.5,0.929418926
America-Australia,Pedestrian,Psittaciformes,Psittacidae ,Platycercus eximius ,eastern rosella ,13.9,1.1430148
America-Australia,Pedestrian,Passeriformes,Meliphagidae ,Plectorhyncha lanceolata,striped honeyeater,4.6,0.662757832
America-Australia,Pedestrian,Ciconiiformes,Threskiornithidae,Plegadis falcinellus,glossy ibis ,56.3,1.750508395
America-Australia,Pedestrian,Charadriiformes,Charadriidae ,Pluvialis dominica,Pacific golden plover,49.33,1.693111115
America-Australia,Pedestrian,Charadriiformes,Charadriidae ,Pluvialis fulva ,Pacific golden plover ,21.9,1.340444115
America-Australia,Pedestrian,Charadriiformes,Charadriidae ,Pluvialis squatarola,black-bellied plover,44,1.643452676
America-Australia,Pedestrian,Caprimulgiformes,Podargidae,Podargus strigoides,tawny frogmouth,6.2,0.792391689
America-Australia,Pedestrian,Podicipediformes,Podicipedidae,Poliocephalus poliocephalus,hoary-headed grebe,23.8,1.376576957
America-Australia,Pedestrian,Passeriformes,Pomatostomidae,Pomatostomus ruficeps,chestnut-crowned babbler,11.8,1.071882007
America-Australia,Pedestrian,Passeriformes,Pomatostomidae,Pomatostomus superciliosus,white-browed babbler,16.9,1.227886705
America-Australia,Pedestrian,Passeriformes,Emberizidae,Pooecetes gramineus,vesper sparrow,16.95,1.229169703
America-Australia,Pedestrian,Gruiformes,Rallidae,Porphyrio porphyria,purple swamphen,57.9,1.762678564
America-Australia,Pedestrian,Gruiformes,Rallidae ,Porzana pusilla,Baillon's crake,8.2,0.913813852
