"affiliation","marijuana_use"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
"liberal","often"
