region,ave,FID
Europe,Anas crecca,39.23
Europe,Anthus campestris ,18.22
Europe,Anthus pratensis,16.98
Europe,Anthus spinoletta,3.28
Europe,Anthus trivialis,13.37
Europe,Apus apus,38.1
Europe,Ardea cinerea,47.36
Europe,Aythya fuligula,10.68
Europe,Branta bernicla,23.5
Europe,Buteo buteo,54.06
Europe,Buteo lagopus,20.1
Europe,Calidris alpina,71
Europe,Carduelis cannabina,9.25
Europe,Carduelis carduelis,11.5
Europe,Carduelis chloris,6.9
Europe,Carduelis flammea,4.5
Europe,Carduelis spinus,4.83
Europe,Certhia familiaris,4.55
Europe,Cettia cetti,5.55
Europe,Charadrius dubius,9
Europe,Charadrius hiaticula,22.5
Europe,Ciconia ciconia,35
Europe,Cisticola juncidis,5.32
Europe,Coccothraustes coccothraustes ,8.6
Europe,Columba livia ,3.5
Europe,Columba palumbus,11.5
Europe,Corvus corax,79.63
Europe,Corvus corone,27.48
Europe,Corvus frugilegus,59.9
Europe,Corvus monedula,24.6
Europe,Cuculus canorus,25.89
Europe,Cygnus columbianus,200
Europe,Cygnus cygnus,155
Europe,Delichon urbica,6.34
Europe,Dendrocopos major,13.44
Europe,Dryocopus martius,38.71
Europe,Emberiza cia,9.43
Europe,Emberiza cirlus,7
Europe,Emberiza citrinella,12.4
Europe,Emberiza schoeniclus,9.81
Europe,Erithacus rubecula,11.1
Europe,Falco tinnunculus,30.94
Europe,Ficedula hypoleuca ,5.39
Europe,Fringilla coelebs,8.7
Europe,Galerida cristata,14.33
Europe,Galerida theklae,7.65
Europe,Gallinago gallinago,72
Europe,Gallinula chloropus,10.03
Europe,Garrulus glandarius,11.76
Europe,Haematopus ostralegus,82
Europe,Hippolais icterina,7.52
Europe,Hirundo daurica,8.06
Europe,Hirundo rustica,10.16
Europe,Ixobrychus minutus,35
Europe,Lanius collurio,7.27
Europe,Lanius excubitor,21.16
Europe,Lanius senator,10.99
Europe,Larus canus,59.94
Europe,Larus fuscus,25
Europe,Larus marinus,68
Europe,Larus ridibundus,41.2
Europe,Locustella naevia,15.03
Europe,Loxia curvirostra,4.74
Europe,Lullula arborea ,12.14
Europe,Luscinia luscinia ,15.89
Europe,Luscinia megarhynchos,8.16
Europe,Merops apiaster,37.02
Europe,Miliaria calandra,9.13
Europe,Monticola saxatilis,16.67
Europe,Motacilla alba,8.6
Europe,Motacilla cinerea,6.3
Europe,Motacilla flava ,9.7
