Continent,Disturbance,Order,Family,Scientific name ,Common name ,FID
Australia,Pedestrian,Passeriformes,Aegithalidae ,Psaltriparus minimus ,bushtit ,6.9
Australia,Pedestrian,Passeriformes,Artamidae,Cracticus tibicen,Australian magpie,40.3
Australia,Pedestrian,Passeriformes,Artamidae,Cracticus tibicen,Australian magpie,11.1
Australia,Pedestrian,Passeriformes,Artamidae ,Cracticus torquatus ,grey butcherbird ,19.3
Australia,Pedestrian,Passeriformes,Artamidae ,Grallina cyanoleuca ,magpie-lark,19.0
Australia,Pedestrian,Passeriformes,Artamidae ,Strepera graculina ,pied currawong,15.5
Australia,Pedestrian,Passeriformes,Artamidae ,Strepera graculina ,pied currawong,13.9
Australia,Pedestrian,Passeriformes,Artamidae ,Strepera graculina ,pied currawong ,15.1
Australia,Pedestrian,Passeriformes,Campephagidae ,Coracina novaehollandiae,black-faced cuckoo-shrike ,21.1
Australia,Pedestrian,Passeriformes,Certhiidae ,Certhia brachydactyla ,short-toed treecreeper ,7.2
Australia,Pedestrian,Passeriformes,Cinclosomatidae ,Psophodes olivaceus ,eastern whipbird ,5.9
Australia,Pedestrian,Passeriformes,Climacteridae ,Climacteris picumnus ,brown treecreeper ,5.1
Australia,Pedestrian,Passeriformes,Climacteridae ,Cormobates leucophaeus ,white-throated treecreeper ,5.8
Australia,Pedestrian,Passeriformes,Corcoracidae ,Corcorax melanorhamphos,white-winged chough ,16.2
Australia,Pedestrian,Passeriformes,Corvidae,Corvus coronoides ,Australian raven ,23.8
Australia,Pedestrian,Passeriformes,Corvidae,Corvus coronoides ,Australian raven ,29.6
Australia,Pedestrian,Passeriformes,Corvidae,Corvus coronoides ,Australian raven ,25.8
Australia,Pedestrian,Passeriformes,Dicruridae ,Gymnorhina tibicen,Australian magpie,10.9
Australia,Pedestrian,Passeriformes,Dicruridae ,Gymnorhina tibicen ,Australian magpie,9.3
Australia,Pedestrian,Passeriformes,Dicruridae ,Gymnorhina tibicen ,Australian magpie,14.9
Australia,Pedestrian,Passeriformes,Dicruridae ,Rhipidura fuliginosa,grey fantail ,5.6
Australia,Pedestrian,Passeriformes,Dicruridae ,Rhipidura fuliginosa,grey fantail ,7.4
Australia,Pedestrian,Passeriformes,Dicruridae ,Rhipidura fuliginosa ,grey fantail ,6.8
Australia,Pedestrian,Passeriformes,Estrildidae,Lonchura castaneothorax ,chestnut-breasted mannikin,14.4
Australia,Pedestrian,Passeriformes,Hirundinidae ,Hirundo neoxena ,welcome swallow,11.0
Australia,Pedestrian,Passeriformes,Maluridae ,Malurus cyaneus,superb fairy-wren ,6.5
Australia,Pedestrian,Passeriformes,Maluridae ,Malurus lamberti ,variegated fairy-wren ,4.5
Australia,Pedestrian,Passeriformes,Maluridae ,Stipiturus malachurus ,southern emu-wren,7.0
Australia,Pedestrian,Passeriformes,Meliphagidae,Acanthorhynchus tenuirostris ,eastern spinebill ,5.6
Australia,Pedestrian,Passeriformes,Meliphagidae,Acanthorhynchus tenuirostris ,eastern spinebill ,3.6
Australia,Pedestrian,Passeriformes,Meliphagidae,Anthochaera chrysoptera ,bush wattlebird,6.7
Australia,Pedestrian,Passeriformes,Meliphagidae,Anthochaera chrysoptera ,bush wattlebird,5.4
Australia,Non-motorized watercraft,Passeriformes,Meliphagidae,Lichenostomus penicillatus,white-plumed honeyeater,7
